radius HeII_4686_s HeII_4686_s_unc HeII_4686_n HeII_4686_n_unc HeII_4686_a HeII_4686_a_unc Hb_4861_s Hb_4861_s_unc Hb_4861_n Hb_4861_n_unc Hb_4861_a Hb_4861_a_unc OIII_4959_s OIII_4959_s_unc OIII_4959_n OIII_4959_n_unc OIII_4959_a OIII_4959_a_unc OIII_5007_s OIII_5007_s_unc OIII_5007_n OIII_5007_n_unc OIII_5007_a OIII_5007_a_unc NII_5754_s NII_5754_s_unc NII_5754_n NII_5754_n_unc NII_5754_a NII_5754_a_unc HeI_5876_s HeI_5876_s_unc HeI_5876_n HeI_5876_n_unc HeI_5876_a HeI_5876_a_unc NII_6548_s NII_6548_s_unc NII_6548_n NII_6548_n_unc NII_6548_a NII_6548_a_unc Ha_6563_s Ha_6563_s_unc Ha_6563_n Ha_6563_n_unc Ha_6563_a Ha_6563_a_unc NII_6583_s NII_6583_s_unc NII_6583_n NII_6583_n_unc NII_6583_a NII_6583_a_unc SII_6716_s SII_6716_s_unc SII_6716_n SII_6716_n_unc SII_6716_a SII_6716_a_unc SII_6731_s SII_6731_s_unc SII_6731_n SII_6731_n_unc SII_6731_a SII_6731_a_unc H2_1_0_S1_s H2_1_0_S1_s_unc H2_1_0_S1_n H2_1_0_S1_n_unc H2_1_0_S1_a H2_1_0_S1_a_unc
2.50000e+00 7.83207e-15 1.81832e-15 9.51866e-15 1.78244e-15 8.67537e-15 1.27312e-15 2.93395e-14 5.05956e-15 2.73249e-14 4.97722e-15 2.83322e-14 3.54866e-15 5.54002e-14 1.74476e-14 7.33950e-14 1.64480e-14 6.43976e-14 1.19891e-14 1.57970e-13 5.04738e-14 1.92013e-13 4.62858e-14 1.74991e-13 3.42417e-14 1.98662e-16 2.24440e-16 5.09541e-16 2.73956e-16 3.54101e-16 1.77077e-16 3.00999e-15 9.45232e-16 3.71249e-15 8.84463e-16 3.36124e-15 6.47252e-16 1.53637e-14 4.69317e-15 1.88751e-14 5.04009e-15 1.71194e-14 3.44341e-15 5.78599e-14 1.45718e-14 7.02686e-14 1.41820e-14 6.40642e-14 1.01669e-14 5.53808e-14 1.66730e-14 7.09966e-14 1.78903e-14 6.31887e-14 1.22275e-14 4.38581e-15 1.16080e-15 5.48210e-15 1.13794e-15 4.93395e-15 8.12766e-16 3.22760e-15 1.09649e-15 5.09951e-15 1.11066e-15 4.16356e-15 7.80360e-16 7.43496e-16 5.30705e-17 2.09704e-16 5.56483e-17 4.76600e-16 3.84487e-17
2.75000e+00 8.45764e-15 1.81832e-15 8.85633e-15 1.78244e-15 8.65698e-15 1.27312e-15 1.61225e-14 5.05956e-15 2.51881e-14 4.97722e-15 2.06553e-14 3.54866e-15 5.16297e-14 1.74476e-14 6.46802e-14 1.64480e-14 5.81550e-14 1.19891e-14 1.52057e-13 5.04738e-14 2.03080e-13 4.62858e-14 1.77568e-13 3.42417e-14 6.93273e-16 2.24440e-16 1.52977e-15 2.73956e-16 1.11152e-15 1.77077e-16 3.08436e-15 9.45232e-16 3.78881e-15 8.84463e-16 3.43658e-15 6.47252e-16 1.65053e-14 4.69317e-15 2.13639e-14 5.04009e-15 1.89346e-14 3.44341e-15 6.05292e-14 1.45718e-14 7.14025e-14 1.41820e-14 6.59658e-14 1.01669e-14 6.02373e-14 1.66730e-14 7.27156e-14 1.78903e-14 6.64765e-14 1.22275e-14 3.93362e-15 1.16080e-15 5.47855e-15 1.13794e-15 4.70608e-15 8.12766e-16 3.18490e-15 1.09649e-15 4.70710e-15 1.11066e-15 3.94600e-15 7.80360e-16 7.60013e-16 5.30705e-17 4.09534e-16 5.56483e-17 5.84774e-16 3.84487e-17
3.00000e+00 9.08321e-15 1.81832e-15 8.19399e-15 1.78244e-15 8.63860e-15 1.27312e-15 1.69854e-14 5.05956e-15 2.33158e-14 4.97722e-15 2.01506e-14 3.54866e-15 5.27351e-14 1.74476e-14 6.92024e-14 1.64480e-14 6.09687e-14 1.19891e-14 1.54650e-13 5.04738e-14 1.87878e-13 4.62858e-14 1.71264e-13 3.42417e-14 9.03177e-16 2.24440e-16 1.98220e-15 2.73956e-16 1.44269e-15 1.77077e-16 3.09671e-15 9.45232e-16 3.70004e-15 8.84463e-16 3.39837e-15 6.47252e-16 1.74051e-14 4.69317e-15 2.20040e-14 5.04009e-15 1.97045e-14 3.44341e-15 5.92111e-14 1.45718e-14 7.03413e-14 1.41820e-14 6.47762e-14 1.01669e-14 5.90239e-14 1.66730e-14 7.58410e-14 1.78903e-14 6.74325e-14 1.22275e-14 4.00677e-15 1.16080e-15 5.31690e-15 1.13794e-15 4.66183e-15 8.12766e-16 3.55873e-15 1.09649e-15 4.45198e-15 1.11066e-15 4.00536e-15 7.80360e-16 9.34991e-16 5.30705e-17 5.04467e-16 5.56483e-17 7.19729e-16 3.84487e-17
3.25000e+00 9.70878e-15 1.81832e-15 7.53165e-15 1.78244e-15 8.62021e-15 1.27312e-15 1.87190e-14 5.05956e-15 2.71395e-14 4.97722e-15 2.29293e-14 3.54866e-15 5.78473e-14 1.74476e-14 6.83634e-14 1.64480e-14 6.31054e-14 1.19891e-14 1.58491e-13 5.04738e-14 2.00509e-13 4.62858e-14 1.79500e-13 3.42417e-14 7.70618e-17 2.24440e-16 4.16450e-16 2.73956e-16 2.46756e-16 1.77077e-16 3.10906e-15 9.45232e-16 3.61127e-15 8.84463e-16 3.36016e-15 6.47252e-16 1.59645e-14 4.69317e-15 2.15753e-14 5.04009e-15 1.87699e-14 3.44341e-15 6.05848e-14 1.45718e-14 7.24071e-14 1.41820e-14 6.64960e-14 1.01669e-14 6.33963e-14 1.66730e-14 7.66794e-14 1.78903e-14 7.00379e-14 1.22275e-14 4.09404e-15 1.16080e-15 5.38520e-15 1.13794e-15 4.73962e-15 8.12766e-16 4.33072e-15 1.09649e-15 4.20747e-15 1.11066e-15 4.26910e-15 7.80360e-16 1.08124e-15 5.30705e-17 8.67868e-16 5.56483e-17 9.74553e-16 3.84487e-17
3.50000e+00 1.03343e-14 1.81832e-15 6.86931e-15 1.78244e-15 8.60183e-15 1.27312e-15 2.46981e-14 5.05956e-15 2.16502e-14 4.97722e-15 2.31742e-14 3.54866e-15 5.95754e-14 1.74476e-14 7.54886e-14 1.64480e-14 6.75320e-14 1.19891e-14 1.63869e-13 5.04738e-14 1.91592e-13 4.62858e-14 1.77731e-13 3.42417e-14 1.17120e-15 2.24440e-16 2.63292e-16 2.73956e-16 7.17248e-16 1.77077e-16 3.13720e-15 9.45232e-16 3.53139e-15 8.84463e-16 3.33429e-15 6.47252e-16 1.79265e-14 4.69317e-15 2.05866e-14 5.04009e-15 1.92566e-14 3.44341e-15 6.26010e-14 1.45718e-14 7.21500e-14 1.41820e-14 6.73755e-14 1.01669e-14 6.82197e-14 1.66730e-14 7.51131e-14 1.78903e-14 7.16664e-14 1.22275e-14 4.32237e-15 1.16080e-15 5.25667e-15 1.13794e-15 4.78952e-15 8.12766e-16 5.17974e-15 1.09649e-15 4.62259e-15 1.11066e-15 4.90116e-15 7.80360e-16 1.64829e-15 5.30705e-17 9.11157e-16 5.56483e-17 1.27972e-15 3.84487e-17
3.75000e+00 1.06537e-14 1.81832e-15 6.72298e-15 1.78244e-15 8.68831e-15 1.27312e-15 2.97206e-14 5.05956e-15 2.42230e-14 4.97722e-15 2.69718e-14 3.54866e-15 6.31260e-14 1.74476e-14 7.57254e-14 1.64480e-14 6.94257e-14 1.19891e-14 1.71494e-13 5.04738e-14 1.95027e-13 4.62858e-14 1.83261e-13 3.42417e-14 4.16687e-16 2.24440e-16 4.22879e-16 2.73956e-16 4.19783e-16 1.77077e-16 3.45755e-15 9.45232e-16 3.61592e-15 8.84463e-16 3.53673e-15 6.47252e-16 2.05729e-14 4.69317e-15 2.03728e-14 5.04009e-15 2.04728e-14 3.44341e-15 6.47719e-14 1.45718e-14 7.19692e-14 1.41820e-14 6.83706e-14 1.01669e-14 7.21200e-14 1.66730e-14 7.42636e-14 1.78903e-14 7.31918e-14 1.22275e-14 5.43946e-15 1.16080e-15 4.55260e-15 1.13794e-15 4.99603e-15 8.12766e-16 5.03944e-15 1.09649e-15 5.35007e-15 1.11066e-15 5.19476e-15 7.80360e-16 1.08163e-15 5.30705e-17 1.54464e-15 5.56483e-17 1.31313e-15 3.84487e-17
4.00000e+00 1.09503e-14 1.81832e-15 6.61487e-15 1.78244e-15 8.78257e-15 1.27312e-15 2.22760e-14 5.05956e-15 2.47605e-14 4.97722e-15 2.35182e-14 3.54866e-15 6.07161e-14 1.74476e-14 7.47087e-14 1.64480e-14 6.77124e-14 1.19891e-14 1.75372e-13 5.04738e-14 2.03380e-13 4.62858e-14 1.89376e-13 3.42417e-14 1.59247e-15 2.24440e-16 -4.77943e-16 2.73956e-16 5.57263e-16 1.77077e-16 3.77790e-15 9.45232e-16 3.70045e-15 8.84463e-16 3.73917e-15 6.47252e-16 2.16125e-14 4.69317e-15 2.08186e-14 5.04009e-15 2.12155e-14 3.44341e-15 6.67437e-14 1.45718e-14 7.38673e-14 1.41820e-14 7.03055e-14 1.01669e-14 7.75083e-14 1.66730e-14 7.23464e-14 1.78903e-14 7.49273e-14 1.22275e-14 6.13948e-15 1.16080e-15 3.85511e-15 1.13794e-15 4.99730e-15 8.12766e-16 5.52365e-15 1.09649e-15 4.86606e-15 1.11066e-15 5.19485e-15 7.80360e-16 9.53118e-16 5.30705e-17 3.82731e-16 5.56483e-17 6.67924e-16 3.84487e-17
4.25000e+00 1.12469e-14 1.81832e-15 6.50676e-15 1.78244e-15 8.87682e-15 1.27312e-15 2.24117e-14 5.05956e-15 2.77776e-14 4.97722e-15 2.50946e-14 3.54866e-15 7.36292e-14 1.74476e-14 8.05889e-14 1.64480e-14 7.71090e-14 1.19891e-14 1.76811e-13 5.04738e-14 2.08379e-13 4.62858e-14 1.92595e-13 3.42417e-14 1.09399e-15 2.24440e-16 2.36600e-15 2.73956e-16 1.72999e-15 1.77077e-16 4.09824e-15 9.45232e-16 3.78498e-15 8.84463e-16 3.94161e-15 6.47252e-16 2.38473e-14 4.69317e-15 2.02266e-14 5.04009e-15 2.20370e-14 3.44341e-15 7.19619e-14 1.45718e-14 7.13766e-14 1.41820e-14 7.16692e-14 1.01669e-14 8.52325e-14 1.66730e-14 7.07354e-14 1.78903e-14 7.79839e-14 1.22275e-14 6.42580e-15 1.16080e-15 4.45661e-15 1.13794e-15 5.44121e-15 8.12766e-16 6.08027e-15 1.09649e-15 4.22711e-15 1.11066e-15 5.15369e-15 7.80360e-16 9.45115e-16 5.30705e-17 9.60717e-16 5.56483e-17 9.52916e-16 3.84487e-17
4.50000e+00 1.15435e-14 1.81832e-15 6.39865e-15 1.78244e-15 8.97107e-15 1.27312e-15 2.51163e-14 5.05956e-15 2.71881e-14 4.97722e-15 2.61522e-14 3.54866e-15 6.76822e-14 1.74476e-14 7.90036e-14 1.64480e-14 7.33429e-14 1.19891e-14 2.03489e-13 5.04738e-14 2.22472e-13 4.62858e-14 2.12981e-13 3.42417e-14 9.95017e-16 2.24440e-16 8.09565e-16 2.73956e-16 9.02291e-16 1.77077e-16 4.23161e-15 9.45232e-16 3.92103e-15 8.84463e-16 4.07632e-15 6.47252e-16 2.60896e-14 4.69317e-15 2.02265e-14 5.04009e-15 2.31581e-14 3.44341e-15 7.47468e-14 1.45718e-14 7.81548e-14 1.41820e-14 7.64508e-14 1.01669e-14 9.25645e-14 1.66730e-14 7.26942e-14 1.78903e-14 8.26293e-14 1.22275e-14 6.39803e-15 1.16080e-15 4.90118e-15 1.13794e-15 5.64961e-15 8.12766e-16 6.08315e-15 1.09649e-15 4.55023e-15 1.11066e-15 5.31669e-15 7.80360e-16 1.53701e-15 5.30705e-17 5.97134e-16 5.56483e-17 1.06707e-15 3.84487e-17
4.75000e+00 1.16586e-14 1.81832e-15 6.42274e-15 1.78244e-15 9.04065e-15 1.27312e-15 2.79785e-14 5.05956e-15 3.14099e-14 4.97722e-15 2.96942e-14 3.54866e-15 7.43803e-14 1.74476e-14 8.21908e-14 1.64480e-14 7.82855e-14 1.19891e-14 2.13161e-13 5.04738e-14 2.20762e-13 4.62858e-14 2.16962e-13 3.42417e-14 -3.89523e-16 2.24440e-16 1.50278e-15 2.73956e-16 5.56628e-16 1.77077e-16 4.22050e-15 9.45232e-16 4.09688e-15 8.84463e-16 4.15869e-15 6.47252e-16 2.63269e-14 4.69317e-15 2.07340e-14 5.04009e-15 2.35304e-14 3.44341e-15 7.59958e-14 1.45718e-14 8.10304e-14 1.41820e-14 7.85131e-14 1.01669e-14 8.85292e-14 1.66730e-14 7.31957e-14 1.78903e-14 8.08625e-14 1.22275e-14 6.15904e-15 1.16080e-15 4.65412e-15 1.13794e-15 5.40658e-15 8.12766e-16 6.12284e-15 1.09649e-15 4.24223e-15 1.11066e-15 5.18253e-15 7.80360e-16 9.02661e-16 5.30705e-17 1.04983e-16 5.56483e-17 5.03822e-16 3.84487e-17
